variety_0,corrected_variety
NSIC Rc 378H ( Mestiso 60 ),NSIC Rc 378H
"batari, habilis",NSIC Rc 406H
phb82,TH-82
begante,NSIC Rc 314H
52,PSB Rc 52
RC400,NSIC Rc 400
NSIC Rc 544H ( Mestiso 99 ),NSIC Rc 544H
NSIC Rc 254H ( Mestiso 34 ),NSIC Rc 254H
"SL8,LP",NSIC Rc 132H
PH73,NSIC Rc 176H
BUGANTE,NSIC Rc 314H
RC10,PSB Rc 10
USS,NSIC Rc 236H
NSIC Rc 424 ( Sahod Ulan 17 ),NSIC Rc 424
NSIC Rc 194 ( Submarino 1 ),NSIC Rc 194
RC 100,NSIC Rc 110
GSR48,NSIC Rc 480
R9,Undefined
NSIC Rc 230H ( Mestiso 25 ),NSIC Rc 230H
R12,NSIC Rc 174H
DHB77,NSIC Rc 492H
s6003,NSIC Rc 376H
phb73,NSIC Rc 176H
0RC512,NSIC Rc 512
RC 442,NSIC Rc 442
PHB 85,NSIC Rc 664H
Rc 402,NSIC Rc 402
140,NSIC Rc 140
m3,Undefined
332,NSIC Rc 332
TH 82,TH-82
QUADRO ALAS,Quadro Alas
NSIC512,NSIC Rc 512
58,PSB Rc 58
C 18,Undefined
sl8H,NSIC Rc 132H
nk512,NSIC Rc 234H
460,NSIC Rc 460
RC 436,NSIC Rc 436
222/NK5017,NSIC Rc 222
NSIC Rc 252H ( Mestiso 33 ),NSIC Rc 252H
canora,Undefined
666,NSIC Rc 666H
sl8h/habilis,NSIC Rc 132H
Rc 82,PSB Rc 82
NSIC Rc 144,NSIC Rc 144
NSIC RC488H,NSIC Rc 488H
rc406,NSIC Rc 406H
rc 512,NSIC Rc 512
PSB Rc 32 ( Jaro ),PSB Rc 32
HY,Undefined
5.6,Undefined
syngenta,NSIC Rc 362H
Sl 19h,NSIC Rc 488H
dinorado,Undefined
inbreed,Undefined
Pecoda,Undefined
HANABIS,NSIC Rc 132H
C48,NSIC Rc 480
SL 19H,NSIC Rc 488H
NSIC Rc 276 ( Sahod Ulan 4 ),NSIC Rc 276
SYNOGENTA,Undefined
Rc18,PSB Rc 18
BURDAGOL,PSB Rc 34
rc82,PSB Rc 82
NSIC Rc 244H ( Mestiso 29 ),NSIC Rc 244H
LP 937/ 2096,NSIC Rc 456H
RC 506,NSIC Rc 506
Rc 2222,NSIC Rc 222
L 20,NSIC Rc 404H
NKS6003,NSIC Rc 376H
BATARI,NSIC Rc 406H
806,NSIC Rc 806H
PSB Rc 66 ( Agusan ),PSB Rc 66
0BEGANTE,NSIC Rc 314H
P-79,NSIC Rc 322H
513,Undefined
P70,Undefined
